kategori,titel,url
"Matematik, fysik, kemi og datalogi",Kemi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/kemi
"Matematik, fysik, kemi og datalogi",Kunstig intelligens,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/kunstig-intelligens
"Matematik, fysik, kemi og datalogi",Matematik,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik
"Matematik, fysik, kemi og datalogi",Matematik oekonomi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/matematik-oekonomi
"Matematik, fysik, kemi og datalogi",Medialogi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/medialogi
"Matematik, fysik, kemi og datalogi",Medicin med industriel specialisering,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/medicin-med-industriel-specialisering
"Matematik, fysik, kemi og datalogi",Medicinalkemi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/medicinalkemi
"Matematik, fysik, kemi og datalogi",Nanoscience,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/nanoscience
"Matematik, fysik, kemi og datalogi",Softwareudvikling,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/matematikfysikkemiogdatalogi/softwareudvikling
Øvrige naturvidenskab,Audiologi,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/audiologi
Øvrige naturvidenskab,Baeredygtig omstilling,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/baeredygtig-omstilling
Øvrige naturvidenskab,Idraet,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/idraet
Øvrige naturvidenskab,Interaktionsdesign,https://www.ug.dk/uddannelser/bachelorogkandidatuddannelser/bacheloruddannelser/naturvidenskabeligebacheloruddannelser/oevrigenaturvidenskab/interaktionsdesign
